Date,Total Aircraft Arrivals And Departures ,Total Aircraft Arrivals And Departures -> Aircraft Arrivals ,Total Aircraft Arrivals And Departures -> Aircraft Departures ,Total Passengers,Total Passengers Arriving,Total Passengers Departing,Total Passengers In Transit,Total Air Cargo Tonnage ,Total Air Cargo Tonnage -> Imports Of Air Cargo Tonnage ,Total Air Cargo Tonnage -> Exports Of Air Cargo Tonnage ,Total Direct Tonnage ,Total Direct Tonnage -> Imports Of Direct Tonnage ,Total Direct Tonnage -> Exports Of Direct Tonnage ,Total Transhipment Tonnage ,Total Transhipment Tonnage -> Imports Of Transhipment Tonnage ,Total Transhipment Tonnage -> Exports Of Transhipment Tonnage ,Total Mail ,Total Mail -> In-Coming Mail ,Total Mail -> Out-Going Mail 
  2025 Feb,29238,14614,14624,5441857,2754111,2645524,42222,143108,77198,65910,87822,49606,38216,55286,27592,27694,828,408,420
  2025 Jan,33104,16553,16551,6155064,3130805,2971086,53173,159763,86826,72937,95309,54722,40587,64454,32104,32350,887,439,448
  2024 Dec,33155,16579,16576,6410825,3218469,3144724,47632,170761,90969,79792,105124,59286,45838,65637,31683,33954,1129,534,595
  2024 Nov,30787,15385,15402,5741007,2839182,2855880,45945,172793,92989,79804,105299,59512,45787,67494,33477,34018,1056,458,598
  2024 Oct,31329,15666,15663,5650043,2757008,2840028,53007,177714,94909,82805,108299,60528,47771,69415,34381,35034,1029,459,571
  2024 Sep,29930,14962,14968,5399080,2718654,2624277,56149,172046,91876,80169,102914,57855,45058,69132,34021,35111,1076,461,615
  2024 Aug,31180,15583,15597,5729606,2820647,2851555,57404,166479,90834,75645,100352,57260,43092,66127,33575,32553,1132,476,656
  2024 Jul,30964,15481,15483,5704270,2905055,2740326,58889,173896,93716,80180,104986,59666,45320,68910,34050,34860,1109,479,630
  2024 Jun,30059,15023,15036,5621575,2870988,2697954,52633,157297,83162,74135,88139,49337,38802,69158,33825,35333,1171,480,692
  2024 May,30123,15051,15072,5482723,2688803,2746455,47465,170471,91470,79001,101713,57119,44594,68757,34350,34407,1107,467,640
  2024 Apr,29098,14547,14551,5402910,2732578,2625504,44828,158109,84596,73512,96840,54337,42503,61269,30260,31009,1263,582,680
  2024 Mar,30409,15194,15215,5726451,2838535,2846893,41023,176067,95275,80792,106453,60457,45995,69615,34818,34797,1167,613,554
  2024 Feb,28822,14411,14411,5352680,2645916,2668973,37791,143078,77090,65987,86564,49429,37135,56514,27661,28852,1039,411,629
  2024 Jan,30127,15069,15058,5429031,2839143,2545159,44729,156142,84249,71893,94362,53170,41192,61779,31079,30700,1224,461,763
  2023 Dec,30436,15208,15228,5814627,2911784,2861776,41067,150575,84449,66126,93259,54310,38949,57316,30139,27177,1556,576,981
  2023 Nov,28003,13997,14006,5147331,2505727,2603008,38596,150215,76904,73311,91969,49553,42416,58246,27351,30895,1534,481,1053
  2023 Oct,28708,14355,14353,5122657,2550710,2526293,45654,152676,79488,73188,93630,50494,43136,59046,28994,30052,1330,486,845
  2023 Sep,27839,13917,13922,4873855,2434215,2388208,51432,153785,81235,72550,93643,51266,42377,60142,29969,30173,1494,525,969
  2023 Aug,28922,14457,14465,5147997,2550494,2543189,54314,148770,79285,69485,90078,50161,39917,58692,29124,29568,1629,562,1068
  2023 Jul,28870,14432,14438,5274889,2701718,2518522,54649,148810,78006,70804,93043,50418,42625,55767,27588,28179,1479,506,973
  2023 Jun,27522,13753,13769,5119252,2580813,2492201,46238,135471,73761,61709,86165,48076,38089,49306,25685,23621,1482,506,976
  2023 May,27571,13791,13780,4838555,2376786,2416651,45118,142117,74001,68116,90477,48446,42031,51640,25555,26085,1620,561,1059
  2023 Apr,26301,13150,13151,4603335,2304751,2256075,42509,140893,73995,66898,90960,49291,41670,49932,24704,25228,1753,556,1197
  2023 Mar,26088,13042,13046,4633939,2294797,2300042,39100,152482,80520,71962,97640,53428,44212,54842,27092,27750,2183,683,1501
  2023 Feb,22856,11425,11431,4002734,1998306,1968204,36224,130936,68224,62712,87288,46535,40753,43648,21689,21959,1810,627,1183
  2023 Jan,25176,12597,12579,4366912,2254509,2071973,40430,133497,70094,63403,85680,45110,40570,47817,24984,22834,1594,587,1007
  2022 Dec,25352,12672,12680,4620193,2302447,2279572,38174,152562,79887,72676,99029,53328,45701,53533,26559,26974,1795,662,1133
  2022 Nov,23651,11820,11831,3963295,1922090,2003017,38188,150754,78223,72531,99219,52567,46651,51535,25655,25879,1817,552,1265
  2022 Oct,21784,10876,10908,3687774,1823550,1829816,34408,152297,79467,72831,101512,54313,47199,50786,25154,25632,1355,534,821
  2022 Sep,20430,10211,10219,3421600,1720124,1667116,34360,154133,80892,73241,101207,54704,46503,52926,26188,26738,1343,516,827
  2022 Aug,20433,10211,10222,3319381,1668806,1611674,38901,152653,80980,71673,101835,55868,45967,50818,25112,25706,1371,536,835
  2022 Jul,20275,10128,10147,3300213,1671555,1587229,41429,163274,84334,78940,109693,57816,51877,53580,26518,27062,1600,558,1042
  2022 Jun,18380,9180,9200,2927392,1470490,1430792,26110,163290,83645,79644,109517,57111,52406,53772,26534,27238,1436,517,919
  2022 May,17109,8557,8552,2465500,1233581,1212096,19823,153450,81983,71466,104950,57064,47886,48499,24919,23580,1471,839,631
  2022 Apr,15055,7519,7536,1932520,965450,951502,15568,152296,82528,69768,105131,57772,47360,47165,24756,22409,1750,529,1221
  2022 Mar,13172,6572,6600,1141411,568945,565823,6643,151989,67694,84295,103307,47874,55434,48682,19820,28862,1620,571,1049
  2022 Feb,10852,5424,5428,702917,365864,334406,2647,136794,70442,66352,94184,49570,44613,42611,20872,21738,1401,479,922
  2022 Jan,12175,6076,6099,719926,393421,323007,3498,169465,87916,81549,109068,57465,51603,60397,30451,29946,1547,626,921
  2021 Dec,12151,6066,6085,817092,394269,418214,4609,183824,93880,89944,122889,63941,58948,60935,29939,30996,1910,725,1185
  2021 Nov,10441,5215,5226,395289,184721,207540,3028,177416,91447,85969,117170,61483,55687,60246,29964,30283,1719,688,1030
  2021 Oct,10185,5091,5094,255148,120883,131402,2863,182035,93359,88676,120489,62880,57609,61546,30479,31067,1961,771,1191
  2021 Sep,9427,4706,4721,219506,103831,113378,2297,171303,88681,82621,109823,58129,51695,61479,30553,30926,1895,706,1189
  2021 Aug,9294,4647,4647,211408,98300,111014,2094,165475,86774,78701,105939,57082,48857,59536,29692,29844,1945,696,1248
  2021 Jul,9400,4693,4707,203701,96367,105118,2216,163550,86695,76855,106251,58203,48047,57300,28492,28808,2059,815,1244
  2021 Jun,8821,4399,4422,178361,76387,99250,2724,160959,84403,76556,108879,58293,50587,52080,26111,25969,1856,695,1161
  2021 May,8702,4348,4354,171277,74145,95254,1878,159727,83404,76323,107435,57480,49954,52292,25924,26369,1901,665,1236
  2021 Apr,8166,4078,4088,173061,85019,86579,1463,155141,80382,74759,107147,56635,50512,47993,23747,24247,2068,706,1362
  2021 Mar,8103,4048,4055,165638,81820,83568,250,157387,82566,74822,110311,59291,51020,47076,23275,23802,2335,814,1521
  2021 Feb,6707,3352,3355,117513,58750,58669,94,123914,63596,60318,86734,45880,40854,37180,17716,19464,1729,628,1102
  2021 Jan,7495,3744,3751,144931,73345,71487,99,145957,76617,69340,102607,54912,47695,43351,21706,21645,2054,699,1356
  2020 Dec,7525,3760,3765,151860,75337,76350,173,147676,78061,69615,105005,56922,48083,42671,21139,21532,2363,853,1511
  2020 Nov,6572,3278,3294,110737,50114,60232,391,140030,74240,65789,97875,53318,44558,42154,20923,21232,2289,674,1615
  2020 Oct,5890,2944,2946,98290,42267,56006,17,129083,67102,61981,93726,49177,44550,35357,17925,17431,1927,707,1221
  2020 Sep,5623,2814,2809,90241,35508,54703,30,124524,65209,59315,90207,48211,41996,34317,16998,17319,1915,640,1275
  2020 Aug,5562,2777,2785,84296,32865,51371,60,120115,62876,57239,85951,45973,39978,34164,16903,17261,2500,614,1886
  2020 Jul,5247,2621,2626,85981,34261,51415,305,118912,62660,56252,87290,46868,40422,31621,15791,15830,3054,642,2412
  2020 Jun,4779,2390,2389,48241,13996,34190,55,111665,58680,52985,82903,44206,38697,28762,14474,14288,2496,637,1859
  2020 May,4472,2237,2235,24504,3976,20400,128,103122,55798,47324,80453,44664,35789,22669,11134,11535,1633,431,1202
  2020 Apr,3865,1920,1945,25189,5776,17340,2073,95838,53217,42620,75451,43362,32089,20386,9855,10532,931,227,705
  2020 Mar,16223,8146,8077,1649662,828317,791383,29962,149444,83425,66019,99611,58354,41257,49833,25071,24762,2558,757,1802
  2020 Feb,26231,13115,13116,3446022,1687083,1718033,40906,146828,79361,67467,93170,52390,40780,53658,26971,26687,3159,1109,2050
  2020 Jan,33435,16719,16716,5950940,3000922,2893053,56965,156865,83949,72916,93951,52826,41126,62914,31124,31790,4025,1268,2756
  2019 Dec,33344,16675,16669,6414495,3231750,3132828,49917,174697,93786,80911,106117,60101,46016,68581,33685,34895,5255,1532,3723
  2019 Nov,31598,15796,15802,5718386,2814414,2855679,48293,177532,95058,82474,105337,59530,45807,72195,35528,36667,4573,1367,3207
  2019 Oct,31958,15978,15980,5646643,2787094,2801262,58287,169689,93855,75834,104161,57423,46738,65529,36432,29097,3760,1295,2464
  2019 Sep,31179,15589,15590,5469342,2726048,2682724,60570,170234,91560,78673,102895,57272,45624,67338,34289,33050,3478,1129,2349
  2019 Aug,32364,16181,16183,5900629,2926617,2911530,62482,169032,91886,77145,101294,56992,44301,67738,34894,32844,3416,1120,2297
  2019 Jul,32389,16196,16193,5910782,2986187,2853267,71328,170226,91891,78335,102510,57942,44568,67716,33949,33767,3253,1110,2143
  2019 Jun,31391,15695,15696,5816089,2920788,2834087,61214,161880,86556,75324,95347,53312,42034,66533,33243,33290,2954,1034,1919
  2019 May,31671,15833,15838,5407308,2657323,2691345,58640,171756,90606,81150,99795,55182,44613,71961,35424,36537,3292,1142,2150
  2019 Apr,31454,15725,15729,5580503,2824331,2700598,55574,156480,81186,75294,93418,52266,41152,63062,28920,34142,3189,1047,2143
  2019 Mar,32371,16178,16193,5630780,2795669,2787741,47370,184764,99805,84959,107903,61478,46425,76861,38328,38533,3448,1099,2348
  2019 Feb,29894,14950,14944,5131807,2565307,2522088,44412,136504,74523,61980,81569,47197,34372,54935,27326,27609,2664,866,1798
  2019 Jan,32729,16368,16361,5656076,2865915,2726368,63793,171304,93028,78276,99992,57469,42523,71312,35559,35753,3282,1038,2245
  2018 Dec,33417,16712,16705,6127843,3092165,2980249,55429,181618,98330,83289,107346,61884,45463,74272,36446,37826,4077,1300,2777
  2018 Nov,31909,15937,15972,5408993,2642203,2717011,49779,189150,103297,85854,109866,63865,46001,79285,39432,39853,3780,1233,2547
  2018 Oct,32759,16389,16370,5376234,2657528,2652749,65957,189786,102006,87780,111866,63351,48515,77921,38655,39265,3191,1031,2160
  2018 Sep,31395,15700,15695,5225903,2602920,2550670,72313,184707,98633,86074,108746,60921,47824,75961,37712,38250,3100,988,2112
  2018 Aug,32888,16426,16462,5682688,2790114,2817913,74661,183756,99782,83974,107946,61976,45970,75810,37806,38004,2996,1052,1944
  2018 Jul,32706,16358,16348,5723094,2877561,2764491,81042,183337,98504,84833,108464,61509,46955,74874,36996,37878,2944,1037,1907
  2018 Jun,31874,15931,15943,5565775,2797378,2700106,68291,170551,92080,78471,101973,57915,44058,68578,34165,34413,2889,978,1911
  2018 May,32332,16163,16169,5294980,2593978,2644254,56748,180488,96753,83735,104567,59756,44811,75922,36997,38924,3206,1545,1661
  2018 Apr,31990,15993,15997,5430745,2732843,2640693,57209,179411,96728,82682,105903,60489,45414,73507,36240,37268,3489,1093,2396
  2018 Mar,32585,16285,16300,5555117,2745173,2760196,49748,187547,102428,85119,111324,63987,47337,76223,38441,37782,3778,1211,2567
  2018 Feb,29701,14855,14846,4932345,2428368,2461291,42686,148934,80249,68685,87762,50367,37395,61172,29882,31290,2786,989,1797
  2018 Jan,32486,16251,16235,5303639,2714369,2525462,63808,175594,95974,79619,104233,60164,44069,71361,35810,35551,3859,1218,2641
  2017 Dec,32956,16468,16488,5861990,2941403,2866096,54491,188742,102536,86206,112168,64477,47691,76574,38059,38515,4119,1303,2816
  2017 Nov,31140,15569,15571,5173747,2520209,2606883,46655,191677,104094,87582,109709,62992,46716,81968,41102,40866,3768,1211,2557
  2017 Oct,31733,15871,15862,5155327,2549697,2546111,59519,185829,100033,85796,106505,60584,45921,79324,39450,39875,3200,1018,2182
  2017 Sep,30492,15245,15247,4927561,2472650,2389930,64981,183559,99228,84331,107281,60836,46445,76278,38392,37886,3366,1067,2299
  2017 Aug,31747,15866,15881,5265703,2572191,2631532,61980,180594,97761,82833,106228,60537,45691,74366,37224,37142,2949,1022,1927
  2017 Jul,31908,15960,15948,5415734,2725701,2620083,69950,179550,96410,83141,108063,60405,47658,71487,36005,35482,3113,1101,2012
  2017 Jun,30915,15448,15467,5208779,2602663,2550518,55598,172040,92154,79886,101294,57405,43889,70747,34750,35997,2952,1013,1939
  2017 May,31197,15601,15596,5003578,2469051,2489147,45380,177336,96958,80378,101489,59164,42326,75847,37794,38053,3359,1122,2237
  2017 Apr,30569,15281,15288,5168548,2573280,2549877,45391,171716,94333,77383,101178,58377,42801,70538,35956,34583,3223,1126,2097
  2017 Mar,30916,15454,15462,5112576,2543155,2525511,43910,188626,103454,85172,109176,63704,45472,79450,39750,39700,3430,1268,2162
  2017 Feb,28032,14024,14008,4669729,2348046,2281794,39889,146866,80438,66427,88155,50710,37446,58710,29728,28982,2817,1079,1738
  2017 Jan,31596,15804,15792,5256301,2642038,2556029,58234,158691,88349,70342,91508,53453,38055,67182,34895,32287,3478,1285,2193
  2016 Dec,31974,15988,15986,5676648,2838114,2786523,52011,177355,97505,79850,104434,60383,44051,72922,37123,35799,3860,1457,2403
  2016 Nov,29708,14848,14860,4784818,2333956,2409220,41642,173174,94516,78658,98300,55956,42344,74874,38560,36314,3500,1380,2120
  2016 Oct,30614,15324,15290,4768937,2347744,2368664,52529,176958,96388,80570,100140,57302,42838,76818,39086,37732,3113,1306,1807
  2016 Sep,29330,14659,14671,4584383,2258798,2279281,46304,167102,90914,76188,97308,56030,41277,69794,34883,34911,2847,1156,1691
  2016 Aug,30257,15139,15118,4923309,2438966,2438273,46070,163146,89609,73537,92168,54392,37776,70978,35217,35761,2743,1117,1626
  2016 Jul,30793,15392,15401,5181108,2609912,2521603,49593,161446,89264,72182,93860,55339,38520,67587,33925,33662,2780,1110,1670
  2016 Jun,29345,14672,14673,4838307,2425547,2371241,41519,163070,89695,73376,94188,55268,38920,68883,34427,34456,2818,1120,1698
  2016 May,30221,15114,15107,4781918,2366789,2377533,37596,157513,88582,68931,88182,53612,34570,69330,34969,34361,3049,1187,1862
  2016 Apr,29460,14722,14738,4793662,2384191,2366216,43255,164531,90487,74044,94275,55307,38968,70256,35179,35077,3286,1254,2032
  2016 Mar,30125,15061,15064,4902767,2437156,2422486,43125,171182,94346,76837,96086,56971,39115,75096,37375,37722,3281,1249,2032
  2016 Feb,28518,14260,14258,4602026,2272357,2293676,35993,136096,75421,60675,77116,46369,30747,58980,29052,29928,2558,996,1562
  2016 Jan,30145,15072,15073,4860156,2490196,2319262,50698,157859,87273,70586,87783,52130,35652,70076,35142,34934,3055,1569,1486
  2015 Dec,30621,15306,15315,5293165,2643838,2604316,45011,163639,89302,74337,91807,53483,38324,71832,35819,36013,3654,1446,2208
  2015 Nov,28729,14365,14364,4636752,2255303,2343936,37513,160482,87839,72643,88137,51960,36177,72345,35879,36466,3307,1328,1979
  2015 Oct,29610,14803,14807,4600789,2275334,2278858,46597,162495,88227,74269,92380,53054,39326,70116,35172,34943,3199,1337,1862
  2015 Sep,28464,14232,14232,4421554,2177750,2192314,51490,155058,84352,70706,88289,50960,37329,66769,33392,33377,2859,1258,1601
  2015 Aug,29606,14814,14792,4955301,2453913,2447055,54333,151647,82970,68677,87214,51220,35994,64434,31750,32684,2725,1213,1512
  2015 Jul,29412,14699,14713,4893574,2453899,2381169,58506,147527,83093,64434,88748,52672,36076,58779,30421,28358,2642,1177,1465
  2015 Jun,28531,14265,14266,4699589,2372653,2278717,48219,151304,82191,69113,88875,51287,37588,62429,30904,31525,2605,1140,1465
  2015 May,29042,14519,14523,4480261,2177764,2250744,51753,157046,86951,70096,91842,54176,37665,65205,32775,32430,2708,1184,1524
  2015 Apr,28256,14126,14130,4391381,2181441,2151585,58355,153448,83906,69541,91091,52790,38301,62357,31117,31240,2488,1096,1392
  2015 Mar,28793,14390,14403,4535119,2237167,2245963,51989,162660,89020,73639,98133,56968,41165,64527,32053,32474,2598,1113,1485
  2015 Feb,26491,13249,13242,4121357,2018729,2056989,45639,135965,75577,60389,79904,47744,32160,56062,27833,28229,2252,975,1277
  2015 Jan,28779,14384,14395,4420122,2243305,2112813,64004,151814,81868,69946,90559,51235,39324,61256,30633,30622,2808,1193,1615
  2014 Dec,29711,14862,14849,5093465,2548964,2488481,56020,158629,85783,72845,95041,54609,40433,63587,31174,32413,3524,1444,2080
  2014 Nov,28031,14011,14020,4415710,2134128,2233049,48533,156535,80860,75676,92336,50786,41549,64200,30073,34126,3135,1237,1898
  2014 Oct,28380,14191,14189,4490180,2209537,2219441,61202,159695,86550,73145,96100,54881,41219,63595,31669,31926,3007,1143,1864
  2014 Sep,27024,13506,13518,4256229,2093056,2094124,69049,147780,83012,64768,89190,52414,36775,58590,30597,27993,2947,1198,1749
  2014 Aug,28356,14179,14177,4649022,2277703,2291337,79982,156030,84774,71255,93653,53555,40098,62377,31219,31158,3239,1274,1965
  2014 Jul,28205,14093,14112,4581591,2274043,2221346,86202,155017,85558,69460,95362,55437,39925,59656,30121,29535,3041,1183,1858
  2014 Jun,28130,14066,14064,4654569,2302985,2283458,68126,154729,84215,70514,93757,54051,39707,60972,30164,30808,2800,1081,1719
  2014 May,28933,14465,14468,4368639,2130910,2169010,68719,157499,86679,70821,92778,54247,38531,64722,32432,32290,2936,1139,1797
  2014 Apr,28358,14177,14181,4383872,2159701,2155835,68336,151069,82325,68744,91425,52728,38698,59643,29598,30046,3088,1145,1943
  2014 Mar,29141,14580,14561,4493991,2211879,2219050,63062,169749,93187,76563,99155,58016,41139,70594,35170,35424,3112,1217,1895
  2014 Feb,26764,13375,13389,4109038,2060429,1988492,60117,126759,69580,57179,78283,45385,32898,48476,24195,24281,2407,913,1494
  2014 Jan,30353,15175,15178,4596764,2265436,2256458,74870,150308,82037,68271,88383,50674,37708,61926,31363,30562,3095,1194,1901
  2013 Dec,30923,15460,15463,5119439,2572554,2483789,63096,156423,85180,71244,92640,53697,38943,63784,31483,32301,3516,1263,2253
  2013 Nov,29505,14747,14758,4464415,2164238,2242642,57535,160007,86645,73362,92348,52721,39627,67659,33924,33735,3357,1235,2122
  2013 Oct,29485,14741,14744,4405289,2150448,2183361,71480,156336,85076,71261,93370,53609,39761,62966,31467,31500,3091,1230,1861
  2013 Sep,28441,14219,14222,4279588,2115158,2086775,77655,151815,81925,69889,90456,51394,39062,61359,30531,30828,2762,1153,1609
  2013 Aug,29613,14800,14813,4678005,2300798,2297446,79761,149873,81808,68065,89611,51689,37922,60261,30118,30143,2794,1178,1616
  2013 Jul,28955,14483,14472,4536572,2263773,2189193,83606,158874,86847,72027,94748,54956,39791,64127,31891,32235,2732,1174,1558
  2013 Jun,28283,14136,14147,4669334,2315861,2282765,70708,155106,84160,70947,93481,53368,40113,61625,30791,30834,2643,1126,1517
  2013 May,28451,14218,14233,4281153,2091320,2124178,65655,152193,83107,69085,91223,52569,38654,60970,30539,30431,2934,1234,1700
  2013 Apr,27544,13781,13763,4240461,2112175,2060941,67345,150135,80847,69289,88136,49834,38302,62000,31012,30987,2861,1224,1637
  2013 Mar,28423,14203,14220,4608339,2251713,2252444,104182,171922,92352,79570,99032,55915,43117,72890,36437,36453,3313,1393,1920
  2013 Feb,25939,12967,12972,4117962,2001547,2020099,96316,130244,70381,59863,74679,42724,31955,55565,27656,27908,2561,1133,1428
  2013 Jan,28203,14095,14108,4325530,2160774,2051368,113388,144774,77480,67294,84396,47235,37161,60378,30246,30133,3182,1429,1753
  2012 Dec,28958,14483,14475,4916197,2441550,2367320,107327,157018,84450,72568,90607,51659,38948,66410,32791,33620,3805,1699,2106
  2012 Nov,27593,13786,13807,4365456,2102448,2168916,94092,156346,84085,72261,88572,50210,38362,67774,33874,33899,3309,1445,1864
  2012 Oct,27641,13837,13804,4268532,2075010,2084166,109356,153625,81872,71752,88252,49516,38736,65373,32356,33016,3067,1406,1661
  2012 Sep,26526,13257,13269,4002344,1949613,1933488,119243,155834,82879,72955,91008,50286,40723,64826,32593,32233,2846,1312,1534
  2012 Aug,27381,13688,13693,4276912,2079441,2079477,117994,150753,80483,70270,87466,48810,38656,63287,31673,31614,2866,1281,1585
  2012 Jul,27093,13543,13550,4360693,2148193,2090097,122403,157172,83923,73248,91374,51217,40158,65797,32706,33091,2760,1262,1498
  2012 Jun,26662,13325,13337,4402693,2184433,2107380,110880,153330,82126,71204,90221,50400,39821,63109,31726,31383,2693,1163,1530
  2012 May,26990,13494,13496,4089894,1972646,2014832,102416,152884,81679,71205,89871,50470,39401,63013,31209,31804,2947,1283,1664
  2012 Apr,26410,13213,13197,4206420,2054888,2043602,107930,148243,78613,69631,87470,48539,38931,60773,30074,30700,2747,1233,1514
